c10_drug_dealing_&_trafficking, grand_total_offence_count, f30_other_government_regulatory_offences, total_division_c_offences, d20_disorderly_&_offensive_conduct, d10_weapons_&_explosives_offences, a80_dangerous_&_negligent_acts_endangering_people, a30_sexual_offences, a10_homicide_&_related_offences, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, a20_assault_&_related_offences, c30_drug_use_&_possession, b20_property_damage, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d40_public_security_offences, a40_abduction_&_related_offences, b30_burglary_break_&_enter, total_division_b_offences, lga_erp, lga_name11, lga_code, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a70_stalking_harassment_&_threatening_behaviour, b40_theft, a60_blackmail_&_extortion, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery
53,11956,20,498,279,343,125,544,2,424,32,38,695,931,398,1212,1784,41,"2016",153,664,45,3,1,12,1245,7363,103964,"Ballarat (C)","20570",1615,1191,1,130,4058,2,2,8,null
95,9806,7,476,166,205,76,175,2,223,16,36,712,715,353,774,1236,61,"2016",60,434,28,3,2,11,1155,6154,127791,"Banyule (C)","20660",1490,1267,null,214,3453,7,null,6,null
20,2989,5,122,99,89,60,115,null,105,9,3,119,337,92,323,620,24,"2016",38,212,10,1,null,7,218,1434,32848,"Bass Coast (S)","20740",592,487,null,98,736,null,null,3,null
91,4103,5,431,85,171,50,220,2,108,40,11,165,360,326,352,794,35,"2016",38,291,14,24,null,7,304,1931,48072,"Baw Baw (S)","20830",616,508,null,143,1072,1,null,11,null
25,5368,4,249,133,140,25,137,2,79,16,34,394,308,213,486,623,38,"2016",23,311,11,1,null,6,596,3716,102882,"Bayside (C)","20910",453,374,null,110,2217,1,null,11,null
11,1580,7,67,17,39,21,80,null,32,11,4,206,189,52,187,333,18,"2016",18,74,4,4,null,2,92,767,13444,"Benalla (RC)","21010",328,296,null,37,264,null,null,null,null
32,8555,4,343,157,116,37,153,2,134,11,40,790,410,300,603,787,29,"2016",21,303,11,3,1,6,1193,6403,176732,"Boroondara (C)","21110",708,574,null,137,3796,2,null,4,null
8,407,2,27,34,26,4,32,null,1,8,null,12,51,15,36,104,3,"2016",2,63,3,null,null,null,29,158,12010,"Alpine (S)","20110",47,46,null,17,79,null,1,6,null
14,1243,null,123,87,45,20,36,null,81,4,2,50,169,106,141,260,16,"2016",7,148,3,4,null,null,72,455,11022,"Ararat (RC)","20260",253,172,null,33,185,null,null,null,null
338,19549,5,1539,315,820,163,231,9,477,26,202,1003,1545,1095,1496,2562,85,"2016",128,1221,106,4,1,24,2023,11664,202863,"Brimbank (C)","21180",2537,2060,null,384,7014,4,null,17,null
4,221,2,22,2,6,5,18,null,5,3,null,4,20,16,32,50,1,"2016",null,9,2,1,null,null,24,122,5891,"Buloke (S)","21270",15,10,null,7,62,null,null,null,null
25,3703,5,160,139,155,47,235,2,180,19,8,97,340,121,341,759,23,"2016",37,317,14,13,null,11,336,1752,36872,"Campaspe (S)","21370",696,516,null,113,941,3,null,1,null
44,7519,4,378,125,188,93,216,2,247,20,33,323,629,318,644,1173,51,"2016",107,386,16,6,22,17,805,4074,95992,"Cardinia (S)","21450",1488,1241,null,175,2195,8,null,10,null
153,23347,6,1133,285,585,258,559,9,688,32,191,1343,2197,925,1734,4068,82,"2016",215,957,55,7,5,49,2642,13907,304071,"Casey (C)","21610",3250,2562,null,792,7973,13,null,19,null
10,1515,null,59,32,94,12,51,null,58,2,4,61,154,34,119,273,13,"2016",27,139,15,2,null,2,97,631,12648,"Central Goldfields (S)","21670",411,353,null,49,327,1,null,null,null
27,1868,6,146,67,76,15,62,2,59,20,2,115,186,108,191,335,11,"2016",9,154,11,7,null,4,135,963,20294,"Colac-Otway (S)","21750",250,191,null,62,513,2,null,7,null
8,853,null,51,17,39,12,41,null,11,1,1,43,81,36,95,163,6,"2016",6,63,7,null,1,1,104,476,15735,"Corangamite (S)","21830",99,88,null,27,228,null,null,1,null
139,16370,3,899,298,393,143,204,2,408,32,80,1298,891,721,1116,1609,54,"2016",71,745,39,4,null,15,1926,11806,153563,"Darebin (C)","21890",1279,871,1,271,7395,3,null,24,null
57,4252,4,274,166,162,62,125,2,122,17,7,158,537,196,495,861,55,"2016",29,383,21,11,null,2,283,1957,44542,"East Gippsland (S)","22110",760,638,1,123,992,3,null,1,null
182,16270,8,1150,520,661,205,355,6,625,28,106,1088,1231,920,1306,2218,147,"2016",122,1328,48,10,null,24,1284,8631,137424,"Frankston (C)","22170",2915,2290,null,289,4831,2,null,10,null
3,573,3,48,15,39,6,30,null,7,3,2,16,58,35,35,113,8,"2016",10,62,10,null,null,null,60,229,9945,"Gannawarra (S)","22250",118,111,null,17,108,null,null,null,null
69,8151,18,449,287,278,121,292,2,247,24,19,379,728,358,767,1421,53,"2016",79,622,22,5,4,16,889,4145,63652,"Greater Shepparton (C)","22830",1490,1243,null,242,2031,1,null,1,null
2,850,1,19,12,8,9,33,null,12,3,2,12,66,13,89,127,4,"2016",21,24,4,1,null,null,150,579,15017,"Hepburn (S)","22910",98,86,null,16,307,1,null,1,null
null,362,null,16,5,8,9,19,null,10,0,null,2,54,14,29,105,3,"2016",2,16,2,null,null,null,34,148,5446,"Hindmarsh (S)","22980",77,67,null,23,81,null,null,null,null
28,6852,1,270,165,191,72,100,2,136,43,35,350,538,236,712,910,64,"2016",32,420,6,3,null,11,587,4294,95046,"Hobsons Bay (C)","23110",915,779,null,152,2613,null,null,39,null
10,2841,5,154,132,60,28,68,2,59,9,2,198,329,136,405,518,25,"2016",28,217,8,3,null,4,160,1231,19801,"Horsham (RC)","23190",712,653,1,85,440,null,null,null,null
209,23377,23,1329,316,781,318,376,18,776,168,98,1364,1646,1034,1761,3147,115,"2016",591,1217,86,107,5,42,2306,13988,201304,"Hume (C)","23270",3528,2752,null,635,7966,14,null,38,null
