c10_drug_dealing_&_trafficking, grand_total_offence_count, f30_other_government_regulatory_offences, total_division_c_offences, d20_disorderly_&_offensive_conduct, d10_weapons_&_explosives_offences, a80_dangerous_&_negligent_acts_endangering_people, a30_sexual_offences, a10_homicide_&_related_offences, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, a20_assault_&_related_offences, c30_drug_use_&_possession, b20_property_damage, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d40_public_security_offences, a40_abduction_&_related_offences, b30_burglary_break_&_enter, total_division_b_offences, lga_erp, lga_name11, lga_code, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a70_stalking_harassment_&_threatening_behaviour, b40_theft, a60_blackmail_&_extortion, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery
63,8454,55,322,110,149,55,146,2,80,83,73,436,525,241,1330,1020,72,"2009",97,333,18,3,2,13,945,6374,154122,"Knox (C)","23670",322,242,1,199,3566,7,null,24,null
40,7980,35,242,254,184,66,528,5,109,46,33,203,738,177,1429,1621,137,"2009",302,583,23,4,8,6,828,4875,72306,"Latrobe (C)","23810",613,504,1,242,2113,3,2,6,null
1,420,3,10,22,21,3,35,null,6,10,null,6,46,8,68,98,3,"2009",16,46,1,6,null,null,43,236,7741,"Loddon (S)","23940",20,14,null,14,103,null,null,1,null
8,1729,8,69,44,42,21,152,4,22,65,null,44,173,55,302,387,31,"2009",43,117,6,19,null,null,214,996,41582,"Macedon Ranges (S)","24130",95,73,null,37,393,null,null,38,null
23,3836,25,159,36,51,29,85,2,40,34,12,243,229,128,507,450,25,"2009",17,120,8,7,8,3,639,2974,116372,"Manningham (C)","24210",99,59,null,80,1568,10,null,2,null
4,500,8,16,26,15,7,null,4,14,48,null,14,45,12,92,61,8,"2009",11,49,null,22,null,null,33,294,7754,"Mansfield (S)","24250",32,18,2,5,144,null,null,16,null
245,8566,64,661,181,195,10,69,5,88,70,170,438,401,393,899,729,29,"2009",41,405,20,1,null,4,1138,6527,71872,"Maribyrnong (C)","24330",174,86,null,68,4001,2,3,5,10
23,6417,58,173,116,86,44,92,2,55,76,74,237,390,135,1054,717,23,"2009",53,225,15,3,null,2,697,4732,106011,"Maroondah (C)","24410",494,439,null,111,2691,2,null,15,null
295,31401,258,1333,2579,471,102,256,12,443,311,370,3551,2119,1025,1814,3262,300,"2009",50,3356,13,19,6,18,1873,21277,94247,"Melbourne (C)","24600",1862,1419,1,352,13987,33,null,33,2
61,5699,30,238,65,161,74,94,4,50,61,36,145,366,136,916,644,19,"2009",89,245,41,6,null,4,1044,4347,99935,"Melton (S)","24650",164,114,2,64,2153,2,null,23,null
71,4574,18,191,73,83,47,116,null,82,31,24,168,398,107,861,652,53,"2009",62,209,11,6,null,4,667,3213,51373,"Mildura (RC)","24780",278,196,null,62,1455,1,2,7,null
19,2126,40,131,138,58,51,44,2,56,50,2,127,228,98,330,408,76,"2009",48,273,14,4,1,1,150,1105,32897,"Mitchell (S)","24850",159,103,null,79,448,1,null,6,2
20,1221,16,71,54,39,10,24,2,15,18,1,23,117,36,178,177,7,"2009",12,100,15,1,null,null,161,770,28140,"Moira (S)","24900",85,70,null,23,396,null,null,1,null
52,8535,10,221,93,101,49,134,4,41,16,131,702,428,152,1109,876,30,"2009",47,226,17,4,2,10,1346,6984,174398,"Monash (C)","24970",212,171,null,108,3780,12,null,2,null
46,7081,12,278,169,138,30,57,9,51,16,129,381,543,213,1087,904,59,"2009",35,370,19,3,4,9,842,5322,110367,"Moonee Valley (C)","25060",191,140,null,124,2977,3,null,1,null
14,1313,20,76,52,31,22,26,2,35,40,2,37,116,40,202,193,18,"2009",25,101,22,1,null,2,136,802,27453,"Moorabool (S)","25150",101,66,null,23,402,null,null,19,null
77,9850,18,420,106,155,46,145,11,48,52,185,605,689,308,1294,1276,42,"2009",87,306,34,2,3,11,1656,7535,150114,"Moreland (C)","25250",261,213,1,180,3891,9,1,31,2
43,8402,34,219,181,97,79,159,7,79,64,22,376,714,147,1540,1124,46,"2009",134,324,29,4,null,5,1091,6231,147002,"Mornington Peninsula (S)","25340",440,361,null,137,3090,1,null,26,null
3,806,12,39,26,26,7,41,2,26,22,3,21,71,27,110,152,19,"2009",10,71,9,7,null,1,73,436,17683,"Mount Alexander (S)","25430",86,60,null,27,222,null,null,3,null
22,486,3,43,22,14,4,36,2,4,6,3,16,46,16,86,109,6,"2009",5,42,5,2,null,null,41,274,15976,"Moyne (S)","25490",12,8,null,18,126,null,null,1,null
1,982,14,28,75,28,26,27,41,16,35,1,11,62,20,103,172,6,"2009",15,109,7,7,null,null,72,601,13352,"Murrindindi (S)","25620",37,21,null,15,400,null,null,14,null
13,1793,11,52,30,16,12,40,null,15,22,7,39,138,32,462,244,13,"2009",16,59,7,4,null,4,234,1363,62785,"Nillumbik (S)","25710",53,38,null,43,612,null,null,7,null
6,951,10,97,27,32,22,19,null,23,23,null,14,98,89,214,156,18,"2009",14,77,2,10,null,null,70,544,12117,"Northern Grampians (S)","25810",54,31,null,15,232,2,null,3,null
76,10535,130,482,392,182,53,129,4,137,140,136,595,825,396,1267,1257,26,"2009",37,607,9,4,7,7,1157,7744,95272,"Port Phillip (C)","25900",305,168,1,99,4687,4,1,5,1
1,328,1,10,3,12,4,25,2,3,3,null,null,19,8,37,57,null,"2009",11,15,1,1,null,null,66,239,6721,"Pyrenees (S)","25990",4,1,1,7,125,null,null,null,null
null,145,null,1,1,null,1,2,null,1,1,null,1,10,1,24,13,1,"2009",3,2,null,null,null,null,13,124,3065,"Queenscliffe (B)","26080",4,3,null,null,83,null,null,1,null
12,1090,10,57,69,11,9,24,null,14,15,2,18,86,40,194,153,7,"2009",16,87,5,4,null,1,168,688,26903,"South Gippsland (S)","26170",90,76,null,29,292,2,null,1,null
2,957,26,33,43,19,7,49,null,31,29,null,104,86,23,208,164,22,"2009",7,84,8,3,null,null,51,588,16822,"Southern Grampians (S)","26260",59,28,null,22,218,null,null,null,null
58,9220,34,374,273,120,37,57,6,54,43,112,1020,614,306,931,932,22,"2009",21,415,9,3,null,3,1105,7245,98186,"Stonnington (C)","26350",211,157,2,90,4167,13,1,4,1
2,517,21,35,15,19,5,11,2,5,25,2,6,40,26,67,75,9,"2009",7,43,7,3,null,null,80,327,9564,"Strathbogie (S)","26430",12,7,null,14,167,1,null,1,null
5,1369,10,33,34,13,9,14,2,26,12,2,67,100,24,316,144,11,"2009",15,58,4,null,null,1,161,1087,25052,"Surf Coast (S)","26490",35,9,null,16,528,null,null,2,null
31,2042,14,151,127,73,30,62,2,64,20,6,21,250,116,396,398,14,"2009",25,214,4,4,null,2,150,1049,21043,"Swan Hill (RC)","26610",210,146,null,46,457,null,null,2,null
null,229,5,11,18,10,1,21,null,13,5,null,3,23,3,36,55,3,"2009",2,31,8,null,null,null,26,110,6050,"Towong (S)","26670",17,4,null,10,43,null,null,null,null
35,1756,22,158,92,42,25,19,null,56,46,1,39,147,104,329,215,13,"2009",21,147,19,23,null,null,115,1039,27111,"Wangaratta (RC)","26700",151,95,null,20,535,3,null,1,null
52,2453,119,181,90,78,41,62,null,62,123,5,48,256,110,495,418,29,"2009",24,197,19,2,null,2,189,1359,32036,"Warrnambool (C)","26730",175,113,2,51,603,1,null,null,null
18,2950,21,90,76,85,36,49,null,35,31,4,69,253,65,541,409,36,"2009",57,197,7,4,null,2,425,2060,41506,"Wellington (S)","26810",163,128,1,65,968,null,null,5,null
null,120,6,6,4,12,1,7,null,3,8,null,null,8,6,11,16,3,"2009",1,19,null,2,null,null,11,55,4427,"West Wimmera (S)","26890",16,13,null,null,32,null,null,null,null
35,6739,15,173,129,92,32,80,2,38,21,124,385,374,131,925,764,63,"2009",40,284,7,1,null,7,1154,5371,155959,"Whitehorse (C)","26980",126,88,null,119,2867,26,null,5,null
59,9277,75,370,145,122,75,108,4,86,115,49,566,613,293,1289,1054,45,"2009",107,313,18,7,1,12,1203,7136,145445,"Whittlesea (C)","27070",289,203,1,187,3971,6,null,32,null
12,2418,9,93,64,46,15,41,null,47,16,4,143,187,73,448,290,24,"2009",30,134,8,5,null,2,257,1686,34654,"Wodonga (RC)","27170",199,152,null,41,808,null,null,2,null
52,8744,11,317,97,138,63,138,15,62,21,72,368,573,217,1283,990,43,"2009",108,282,48,3,4,7,1209,6837,143405,"Wyndham (C)","27260",297,235,null,121,3868,1,null,7,1
177,11273,39,850,277,237,80,85,null,117,44,140,663,706,652,1132,1113,42,"2009",39,562,21,2,6,3,1181,8432,77311,"Yarra (C)","27350",272,155,null,92,5416,7,null,3,1
38,6046,71,223,99,117,49,125,5,72,119,23,359,371,157,1157,670,37,"2009",85,255,28,5,2,8,792,4516,147663,"Yarra Ranges (S)","27450",263,191,null,88,2123,1,null,43,null
1,323,3,12,6,8,2,13,null,2,8,null,2,30,8,45,63,25,"2009",5,39,3,4,null,null,44,164,7412,"Yarriambiack (S)","27630",37,35,1,18,68,null,null,null,null
31,1547,28,104,67,37,24,69,2,29,31,3,10,129,56,295,260,33,"2009",28,137,17,2,null,null,179,934,19995,"Glenelg (S)","22410",81,52,null,33,422,null,null,1,null
31,5831,31,190,80,82,21,88,null,44,35,73,366,372,154,998,634,12,"2009",37,175,5,null,1,4,1011,4627,135414,"Glen Eira (C)","22310",170,126,null,72,2192,4,null,4,23
5,397,2,8,4,8,7,11,null,3,3,null,15,43,null,51,67,2,"2009",13,14,3,null,null,1,82,294,17941,"Golden Plains (S)","22490",11,8,null,5,133,null,null,1,null
34,6182,66,302,126,147,35,283,null,117,85,26,180,528,244,1050,1010,73,"2009",77,347,24,9,1,3,552,3957,99003,"Greater Bendigo (C)","22620",481,364,2,132,2098,3,null,8,null
123,13823,108,619,230,247,82,180,8,224,138,151,1192,1184,462,1420,1845,40,"2009",147,518,34,8,1,27,1521,9348,138740,"Greater Dandenong (C)","22670",1355,1131,1,207,5067,6,null,21,1
84,13905,47,364,391,260,90,234,9,131,70,55,454,918,240,2749,1524,90,"2009",175,744,40,7,3,3,1921,10664,209429,"Greater Geelong (C)","22750",539,408,1,211,5365,4,null,15,null
