"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2016","Region","FREQUENCY","FREQUENCY","TIME","TIME","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2003","2003",2661,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2004","2004",2596,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2005","2005",2545,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2006","2006",2507,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2007","2007",2473,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2008","2008",2433,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2009","2009",2404,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2010","2010",2381,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2011","2011",2353,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2012","2012",2359,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2013","2013",2374,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2014","2014",2366,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2015","2015",2349,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","A","Annual","2016","2016",2310,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2001","2001",35504,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2002","2002",35831,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2003","2003",36084,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2004","2004",36245,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2005","2005",36547,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2006","2006",36916,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2007","2007",37272,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2008","2008",37904,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2009","2009",38848,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2010","2010",39484,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2011","2011",39960,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2012","2012",40345,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2013","2013",40798,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2014","2014",41272,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2015","2015",41844,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","A","Annual","2016","2016",42389,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2001","2001",30425,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2002","2002",30790,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2003","2003",31056,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2004","2004",31406,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2005","2005",31608,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2006","2006",31829,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2007","2007",32183,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2008","2008",32367,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2009","2009",32620,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2010","2010",32962,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2011","2011",33128,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2012","2012",33301,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2013","2013",33444,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2014","2014",33587,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2015","2015",33742,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","A","Annual","2016","2016",33946,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2001","2001",12634,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2002","2002",12673,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2003","2003",12705,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2004","2004",12672,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2005","2005",12682,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2006","2006",12716,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2007","2007",12773,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2008","2008",12787,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2009","2009",12837,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2010","2010",12891,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2011","2011",12923,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2012","2012",12902,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2013","2013",12902,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2014","2014",12902,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2015","2015",12901,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10600","Bellingen (A)","A","Annual","2016","2016",12893,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2001","2001",8075,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2002","2002",8058,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2003","2003",8035,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2004","2004",8014,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2005","2005",8076,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2006","2006",8160,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2007","2007",8204,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2008","2008",8237,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2009","2009",8282,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2010","2010",8291,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2011","2011",8297,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2012","2012",8360,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2013","2013",8424,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2014","2014",8502,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2015","2015",8544,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10650","Berrigan (A)","A","Annual","2016","2016",8572,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2001","2001",263103,,
